rule_id,priority,enabled,benchmark_entity_type,manufacturer_key,family_match,family_value,variant_contains,required_drain_form,length_mode,min_rule,min_value_mm,max_rule,max_value_mm,strict_filter_eligible,evidence_status,evidence_url,evidence_note,rationale
L001_CONNECT_CERAFRAME,10,yes,system,dallmer,exact,Dallmer Connect active drainage,CeraFrame,linear,fixed_nominal,same_as_nominal,,same_as_nominal,,yes_exact_only,verified_official,https://www.dallmer.de/default-wAssets/docs/de/broschueren/neuheiten/Connect-Aktiventwaesserung.pdf,The official Connect overview lists CeraFrame at a fixed length of 300 mm.,Fixed 300 mm linear frame; it must not inherit the CeraWall or CeraFloor range.
L002_CONNECT_CERAWALL,11,yes,system,dallmer,exact,Dallmer Connect active drainage,CeraWall,linear,continuous_range,constant,800,nominal_length_mm,,yes_range,verified_official,https://www.dallmer.de/default-wAssets/docs/de/broschueren/neuheiten/Connect-Aktiventwaesserung.pdf,The official Connect overview lists CeraWall as a trimmable profile from 800 mm up to the respective variant length.,The pumped CeraWall Connect system uses a verified range from 800 mm to the nominal maximum of the variant.
L003_CONNECT_CERAFLOOR,12,yes,system,dallmer,exact,Dallmer Connect active drainage,CeraFloor,linear,continuous_range,constant,800,nominal_length_mm,,yes_range,verified_official,https://www.dallmer.de/default-wAssets/docs/de/broschueren/neuheiten/Connect-Aktiventwaesserung.pdf,The official Connect overview lists CeraFloor as a trimmable profile from 800 to 1500 mm.,The pumped CeraFloor Connect system uses a verified range from 800 mm to the nominal maximum of the variant.
L010_DALLMER_CERAFLOOR_INDIVIDUAL,20,yes,system,dallmer,exact,Dallmer CeraFloor Individual,*,linear,continuous_range,constant,800,nominal_length_mm,,yes_range,verified_official,https://www.dallmer.de/default-wAssets/docs/de/broschueren/produktsortiment/Duschrinnensystem-DallFlex.pdf,Official documentation allows the 1500 mm profile to be shortened to a minimum of 800 mm.,Verified continuous range from 800 mm to the nominal profile length.
L011_DALLMER_CERAFLOOR_PURE,21,yes,system,dallmer,exact,Dallmer CeraFloor Pure,*,linear,continuous_range,nominal_minus_100,,nominal_length_mm,,yes_range,verified_official_installation,https://www.dallmer.com/default-wAssets/docs/de/montageanleitungen/538208_0.pdf,The installation manual permits shortening by no more than 50 mm on each side.,The minimum installable length is the nominal length minus 100 mm.
L012_DALLMER_CERAFLOOR_SELECT_DUO,22,yes,system,dallmer,exact,Dallmer CeraFloor Select Duo,*,linear,continuous_range,nominal_minus_100,,nominal_length_mm,,yes_range,verified_official_installation,https://www.dallmer.de/default-wAssets/docs/ch/montageanleitungen/537447_0.pdf,The installation manual permits shortening by no more than 50 mm on each side.,The minimum installable length is the nominal length minus 100 mm.
L013_DALLMER_CERAFLOOR_SELECT,23,yes,system,dallmer,exact,Dallmer CeraFloor Select,*,linear,continuous_range,nominal_minus_100,,nominal_length_mm,,yes_range,verified_official_installation,https://www.dallmer.de/default-wAssets/docs/de/montageanleitungen/538062_0.pdf,The installation manual permits shortening by no more than 50 mm on each side.,The minimum installable length is the nominal length minus 100 mm.
L014_DALLMER_CERAWALL_SELECT_N_DUO,24,yes,system,dallmer,exact,Dallmer CeraWall Select N Duo,*,linear,adjustable_min_unverified,none,,nominal_length_mm,,no,minimum_not_verified,https://www.dallmer.com/default-wAssets/docs/pl/broschueren/1906_Dallmer_DallFlex_Broschuere_2021_PL_Ansicht_02.pdf,"The brochure states millimetre-level adjustability and nominal lengths of 1300–2000 mm, but does not state a safe minimum length.",Excluded from the hard length filter until the minimum is documented for this older family.
L015_DALLMER_CERAWALL_SELECT_N,25,yes,system,dallmer,exact,Dallmer CeraWall Select N,*,linear,adjustable_min_unverified,none,,nominal_length_mm,,no,minimum_not_verified,https://www.dallmer.com/default-wAssets/docs/pl/broschueren/1906_Dallmer_DallFlex_Broschuere_2021_PL_Ansicht_02.pdf,"The brochure states millimetre-level adjustability and nominal lengths of 800–1500 mm, but does not state a safe minimum length.",Excluded from the hard length filter until the minimum is documented for this older family.
L020_GEBERIT_CLEANLINE_TILE,30,yes,system,geberit,exact,Geberit CleanLine,154.455.00.1,linear,fixed_nominal,same_as_nominal,,same_as_nominal,,yes_exact_only,verified_official,https://catalog.geberit.de/de-DE/product/PRO_472894,The official catalogue lists a fixed length of 18.8 cm for tile insert 154.455.00.1.,This special short tile variant is fixed and must not inherit the CleanLine profile range of 300–900/1600 mm.
L021_GEBERIT_CLEANLINE_PROFILE,31,yes,system,geberit,exact,Geberit CleanLine,*,linear,continuous_range,constant,300,nominal_length_mm,,yes_range,verified_official,https://catalog.geberit.de/de-DE/product/PRO_170946,The official catalogue lists CleanLine profiles from 30 cm up to maximum lengths of 90/110/130/160 cm and states that they can be shortened.,"For CleanLine profiles, the minimum is 300 mm and the maximum equals the nominal variant length."
L030_HANSGROHE_RAINDRAIN_FLEX,40,yes,system,hansgrohe,exact,hansgrohe RainDrain Flex,*,linear,continuous_range,constant,310,nominal_length_mm,,yes_range,verified_official_installation,https://assets.hansgrohe.com/mam/celum/celum_assets/16__hrgh2258_pdf.pdf,The official installation manual states a minimum shortened length of 310 mm.,RainDrain Flex can be shortened on site from 310 mm to the nominal variant length.
L031_HANSGROHE_ROCK_NA_TRIM,41,yes,system,hansgrohe,exact,hansgrohe RainDrain Rock North America,*,linear,installation_trim_only,same_as_nominal,,same_as_nominal,,no,verified_not_continuous_range,https://pro.hansgrohe-usa.com/articledetail-raindrain-rock-complete-set-shower-drain-24-cut-on-size-and-tileable-56029001,"The phrase “cut on size” describes installation trimming of the cover to a fixed rough length, not a documented freely adjustable length range.",The record must not be expanded into a continuous interval without a separately documented minimum.
