rule_id,priority,enabled,benchmark_entity_type,manufacturer_key,product_category,family_match,family_value,variant_contains,mapped_solution_type,mapped_drain_form,mapped_installation_zone,mapped_drainage_mode,mapped_application_scope,leaderboard_visibility,classification_confidence,rationale
S001_ACO_DSS_WTW,10,yes,system,aco,unknown,exact,ACO ShowerDrain DSS WTW Netherlands,*,integrated_shower_surface,integrated_surface,integrated_surface,gravity,integrated_shower_surface,active,high,Approved reclassification of six ACO heat-recovery shower trays from unknown to integrated shower surface.
S002_WEDI_INTEGRATED_LINEAR,11,yes,system,wedi,integrated_shower_element_system,contains,integrated linear-drain systems,*,integrated_shower_element,linear,integrated_surface,gravity,shower_or_wetroom,active,high,WEDI v2 family label explicitly identifies integrated linear-drain shower elements.
S003_WEDI_INTEGRATED_POINT,12,yes,system,wedi,integrated_shower_element_system,contains,integrated point-drain systems,*,integrated_shower_element,point,integrated_surface,gravity,shower_or_wetroom,active,high,WEDI v2 family label explicitly identifies integrated point-drain shower elements.
S004_WEDI_PLANO_LINEA,13,yes,system,wedi,integrated_shower_element_system,exact,wedi Fundo Plano Linea,*,integrated_shower_element,linear,integrated_surface,gravity,shower_or_wetroom,active,high,Current WEDI exact evidence describes Fundo Plano Linea as an integrated horizontal linear drain.
S005_WEDI_PLANO,14,yes,system,wedi,integrated_shower_element_system,exact,wedi Fundo Plano,*,integrated_shower_element,point,integrated_surface,gravity,shower_or_wetroom,active,high,Current WEDI exact evidence describes Fundo Plano with a central drain and square grid.
S006_WEDI_INTEGRO,15,yes,system,wedi,integrated_shower_element_system,exact,wedi Fundo Integro,*,integrated_shower_element,point,integrated_surface,gravity,shower_or_wetroom,active,high,Current WEDI exact evidence describes Fundo Integro with a central or offset point drain and grid.
S007_WEDI_UNKNOWN_KITS,16,yes,system,wedi,unknown,contains,Shower Kit,*,integrated_shower_element,point,integrated_surface,gravity,shower_or_wetroom,active,high,WEDI v2 technical observations explicitly classify the current Shower Kit records as point drainage.
S008_WEDI_SDRY_KITS,17,yes,system,wedi,unknown,exact,S-DRY Shower Kits,*,integrated_shower_element,point,integrated_surface,gravity,shower_or_wetroom,active,high,WEDI v2 technical observations explicitly classify S-DRY Shower Kits as point drainage.
S013_V2_POINT_ASSEMBLY,23,yes,system,*,point_drain_assembly,any,*,*,drainage_system,point,floor,gravity,shower_or_wetroom,active,high,v2 point-drain assembly category.
S014_V2_INTEGRATED_POINT,24,yes,system,*,integrated_point_drain_shower_system|integrated_point_drain_shower_system_pvc,any,*,*,integrated_shower_element,point,integrated_surface,gravity,shower_or_wetroom,active,high,v2 integrated point-drain shower-system categories.
S015_V2_INTEGRATED_LINEAR,25,yes,system,*,integrated_shower_drainage_system,any,*,*,integrated_shower_element,linear,integrated_surface,gravity,shower_or_wetroom,active,high,v2 integrated linear shower-drainage-system category.
S016_V2_LINEAR_HEAT_RECOVERY,26,yes,system,*,linear_drain_heat_recovery_shower_system,any,*,*,heat_recovery_shower_system,linear,integrated_surface,gravity,shower_or_wetroom,active,high,v2 linear heat-recovery shower-system category.
S010_CONNECT_CERAWALL,20,yes,system,dallmer,linear_drain,exact,Dallmer Connect active drainage,CeraWall,drainage_system,linear,wall_floor_junction,pumped,shower_or_wetroom,active,high,Complete pumped Dallmer CeraWall Connect assembly with a Plancofix pump.
S011_CONNECT_CERAFLOOR,21,yes,system,dallmer,linear_drain,exact,Dallmer Connect active drainage,CeraFloor,drainage_system,linear,floor,pumped,shower_or_wetroom,active,high,Complete pumped Dallmer CeraFloor Connect assembly with a Plancofix pump.
S012_CONNECT_CERAFRAME,22,yes,system,dallmer,linear_drain,exact,Dallmer Connect active drainage,CeraFrame,drainage_system,linear,floor,pumped,shower_or_wetroom,active,high,Complete pumped Dallmer CeraFrame Connect assembly with a Plancofix pump.
S020_TECE_TERRACE,30,yes,system,tece,floor_drain,exact,TECEdrainpoint S,*,drainage_system,point,floor,gravity,outdoor_exclude,hidden,high,Twelve variants are explicitly designated for terraces in their names and notes.
S021_VIEGA_OUTDOOR,31,yes,system,viega,point_drain,exact,"Viega Advantix balcony, terrace and outdoor drains",*,drainage_system,point,floor,gravity,outdoor_exclude,hidden,high,"Explicitly balcony, terrace, and outdoor drains."
S030_VIEGA_FIRE_FLOOR,40,yes,system,viega,point_drain,exact,"Viega Advantix remaining bathroom, floor and fire-protection drains",*,drainage_system,point,floor,gravity,scope_review,hidden,high,Mixed family of general floor and fire-protection drains; hidden until confirmed.
S031_VIEGA_TOP_FLOOR,41,yes,system,viega,point_drain,exact,Viega Advantix Top and bathroom/floor drains,*,drainage_system,point,floor,gravity,scope_review,hidden,high,"Point geometry is known, but shower use is not documented for every variant."
S032_KESSEL_ECOGUSS,42,yes,system,kessel,point_drain,exact,KESSEL Ecoguss complete floor and ceiling drains,*,drainage_system,point,floor,gravity,scope_review,hidden,high,General floor and ceiling drains; hidden until confirmed.
S033_KESSEL_PRACTICUS,43,yes,system,kessel,point_drain,exact,KESSEL Practicus complete floor drains,*,drainage_system,point,floor,gravity,scope_review,hidden,high,General floor drains; hidden until confirmed.
S034_KESSEL_FERROFIX_125,44,yes,system,kessel,point_drain,exact,KESSEL Ferrofix System 125 point drains,*,drainage_system,point,floor,gravity,scope_review,hidden,high,Point drains with a broader application scope; hidden until confirmed.
S035_KESSEL_FERROFIX_RENO,45,yes,system,kessel,point_drain,exact,KESSEL Ferrofix compact renovation point drains,*,drainage_system,point,floor,gravity,scope_review,hidden,high,Renovation floor drains; hidden until confirmed.
S040_DALLMER_CERAWALL,50,yes,system,dallmer,linear_drain,prefix,Dallmer CeraWall,*,drainage_system,linear,wall_floor_junction,gravity,shower_or_wetroom,active,high,Linear families installed at the wall-to-floor junction.
S050_WALL_DRAIN,60,yes,system,*,wall_drain,any,*,*,drainage_system,linear,wall,gravity,shower_or_wetroom,active,high,The existing wall_drain value describes the installation position; the geometry is linear.
S051_CHANNEL_SYSTEM,61,yes,system,*,channel,any,*,*,drainage_system,linear,floor,gravity,shower_or_wetroom,active,high,System rows classified as channel are normalized to linear drains; this includes 72 ACO assemblies.
S052_LINEAR_SYSTEM,62,yes,system,*,linear_drain,any,*,*,drainage_system,linear,floor,gravity,shower_or_wetroom,active,high,Default rule for linear shower drainage systems.
S053_POINT_SYSTEM,63,yes,system,*,point_drain,any,*,*,drainage_system,point,floor,gravity,shower_or_wetroom,active,high,Default rule for point shower drainage systems after applying higher-priority exceptions.
S054_FLOOR_DRAIN_FALLBACK,64,yes,system,*,floor_drain,any,*,*,drainage_system,point,floor,gravity,scope_review,hidden,medium,"Without a dedicated rule, a general floor_drain is not automatically treated as a shower drain."
S055_SHOWER_SURFACE,65,yes,system,*,shower_surface,any,*,*,integrated_shower_surface,integrated_surface,integrated_surface,gravity,integrated_shower_surface,active,high,Integrated shower surfaces remain a separate branch in the application.
S056_UNKNOWN_SYSTEM,66,yes,system,*,unknown,any,*,*,manual_review,unknown,unknown,unknown,manual_review,hidden,low,An unknown system must not enter the active leaderboard without a manual decision.
S099_SYSTEM_FALLBACK,99,yes,system,*,*,any,*,*,manual_review,unknown,unknown,unknown,manual_review,hidden,low,Safe fallback for a future system category that is not yet covered by the rules.
C010_LINEAR_COMPONENT,110,yes,component,*,linear_drain|channel|wall_drain,any,*,*,component,linear,inherit_from_BOM,inherit_from_BOM,context_only,context_only,high,The component itself has linear geometry; system context is inherited through the BOM.
C011_POINT_COMPONENT,111,yes,component,*,point_drain|floor_drain,any,*,*,component,point,inherit_from_BOM,inherit_from_BOM,context_only,context_only,high,The component itself has point geometry; system context is inherited through the BOM.
C012_SURFACE_COMPONENT,112,yes,component,*,shower_surface,any,*,*,component,integrated_surface,inherit_from_BOM,inherit_from_BOM,context_only,context_only,high,Component of an integrated shower surface.
C013_GENERIC_COMPONENT,113,yes,component,*,accessory|base_set|cover|finish_set|grate|trap,any,*,*,component,inherit_from_BOM,inherit_from_BOM,inherit_from_BOM,context_only,context_only,high,A generic component receives its drain type only from a specific parent_system_key in the BOM.
C099_COMPONENT_FALLBACK,199,yes,component,*,*,any,*,*,component,unknown,inherit_from_BOM,inherit_from_BOM,context_only,context_only,low,Safe fallback for future component categories.
F001_FAMILY_METADATA,210,yes,family,*,*,any,*,*,family_metadata,not_applicable,not_applicable,not_applicable,not_applicable,context_only,high,A summary family row is metadata and does not belong in the leaderboard.
